Nitrogen;Phosphorus;Potassium;Temperature;Humidity;pH_Value;Rainfall;Crop
90;42;43;2.087.974.371;8.200.274.423;6.502.985.292;2.029.355.362;Rice
85;58;41;2.177.046.169;8.031.964.408;7.038.096.361;2.266.555.374;Rice
60;55;44;2.300.445.915;823.207.629;7.840.207.144;2.639.642.476;Rice
74;35;40;2.649.109.635;8.015.836.264;6.980.400.905;2.428.640.342;Rice
78;42;42;2.013.017.482;8.160.487.287;7.628.472.891;2.627.173.405;Rice
69;37;42;2.305.804.872;8.337.011.772;7.073.453.503;2.510.549.998;Rice
69;55;38;2.270.883.798;8.263.941.394;570.080.568;2.713.248.604;Rice
94;53;40;2.027.774.362;8.289.408.619;5.718.627.178;2.419.741.949;Rice
89;54;38;2.451.588.066;835.352.163;6.685.346.424;2.304.462.359;Rice
68;58;38;2.322.397.386;8.303.322.691;6.336.253.525;2.212.091.958;Rice
91;53;40;2.652.723.513;8.141.753.846;5.386.167.788;2.646.148.697;Rice
90;46;42;2.397.898.217;8.145.061.596;750.283.396;2.500.832.336;Rice
78;58;44;2.680.079.604;8.088.684.822;5.108.681.786;2.844.364.567;Rice
93;56;36;2.401.497.622;8.205.687.182;698.435.366;1.852.773.389;Rice
94;50;37;2.566.585.205;8.066.385.045;694.801.983;2.095.869.708;Rice
60;48;39;2.428.209.415;8.030.025.587;7.042.299.069;2.310.863.347;Rice
85;38;41;2.158.711.777;827.883.708;6.249.050.656;2.766.552.459;Rice
91;35;39;2.379.391.957;8.041.817.957;6.970.859.754;2.062.611.855;Rice
77;38;36;218.652.524;801.923.008;5.953.933.276;2.245.550.169;Rice
88;35;40;2.357.943.626;8.358.760.316;585.393.208;2.912.986.618;Rice
89;45;36;2.132.504.158;8.047.476.396;6.442.475.375;1.854.974.732;Rice
76;40;43;2.515.745.531;8.311.713.476;5.070.175.667;2.313.843.163;Rice
67;59;41;2.194.766.735;8.097.384.195;6.012.632.591;2.133.560.921;Rice
