Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Crop
90,42,43,2087974371,8200274423,6502985292,2029355362,Rice
85,58,41,2177046169,8031964408,7038096361,2266555374,Rice
60,55,44,2300445915,823207629,7840207144,2639642476,Rice
74,35,40,2649109635,8015836264,6980400905,2428640342,Rice
78,42,42,2013017482,8160487287,7628472891,2627173405,Rice
69,37,42,2305804872,8337011772,7073453503,2510549998,Rice
69,55,38,2270883798,8263941394,570080568,2713248604,Rice
94,53,40,2027774362,8289408619,5718627178,2419741949,Rice
89,54,38,2451588066,835352163,6685346424,2304462359,Rice
68,58,38,2322397386,8303322691,6336253525,2212091958,Rice
91,53,40,2652723513,8141753846,5386167788,2646148697,Rice
90,46,42,2397898217,8145061596,750283396,2500832336,Rice
78,58,44,2680079604,8088684822,5108681786,2844364567,Rice
93,56,36,2401497622,8205687182,698435366,1852773389,Rice
94,50,37,2566585205,8066385045,694801983,2095869708,Rice
60,48,39,2428209415,8030025587,7042299069,2310863347,Rice
85,38,41,2158711777,827883708,6249050656,2766552459,Rice
91,35,39,2379391957,8041817957,6970859754,2062611855,Rice
77,38,36,218652524,801923008,5953933276,2245550169,Rice
88,35,40,2357943626,8358760316,585393208,2912986618,Rice
89,45,36,2132504158,8047476396,6442475375,1854974732,Rice
76,40,43,2515745531,8311713476,5070175667,2313843163,Rice
67,59,41,2194766735,8097384195,6012632591,2133560921,Rice
83,41,43,210525355,8267839517,6254028451,2331075816,Rice
98,47,37,2348381344,8133265073,7375482851,2240581164,Rice
66,53,41,250756354,8052389148,7778915154,2570038865,Rice
97,59,43,2635927159,8404403589,6286500176,2713586137,Rice
97,50,41,2452922681,8054498576,7070959995,2602634026,Rice
60,49,44,2077576147,8449774397,6244841491,2400810647,Rice
84,51,35,2230157427,8064416466,6043304899,1979791215,Rice
73,57,41,2144653958,8494375962,5824709117,2722017204,Rice
92,35,40,2217931888,8033127223,6357389366,2000882787,Rice
