Departamento;Meses;Aereo;Fluvial;Maritimo;Terrestre;Total_general
Bogota;Enero;405823;;;;405823
Bogota;Febrero;407158;;;;407158
Bogota;Marzo;413599;;;;413599
Bogota;Abril;360787;;;;360787
Bogota;Mayo;344659;;;;344659
Bogota;Junio;371605;;;;371605
Bogota;Julio;419889;;;;419889
Bogota;Agosto;462031;;;;462031
Bogota;Septiembre;390731;;;;390731
Antioquia;Enero;149130;;16;;149146
Antioquia;Febrero;146446;;7;;146453
Antioquia;Marzo;146785;;8;;146793
Antioquia;Abril;141540;;7;;141547
Antioquia;Mayo;151137;;14;;151151
Antioquia;Junio;142513;;2;;142515
Antioquia;Julio;180261;;7;;180268
Antioquia;Agosto;182823;;10;;182833
Antioquia;Septiembre;149371;;19;;149390
Bolivar;Enero;108943;;3751;;112694
Bolivar;Febrero;107773;;2754;;110527
Bolivar;Marzo;112304;;4817;;117121
Bolivar;Abril;97353;;3321;;100674
Bolivar;Mayo;92929;;1912;;94841
Bolivar;Junio;96457;;3121;;99578
Bolivar;Julio;110598;;2195;;112793
Bolivar;Agosto;114766;;1720;;116486
Bolivar;Septiembre;92857;;1961;;94818
Norte de Santander;Enero;6218;;;28489;34707
Norte de Santander;Febrero;4464;;;21678;26142
Norte de Santander;Marzo;4660;;;19989;24649
Norte de Santander;Abril;3954;;;18640;22594
Norte de Santander;Mayo;3322;;;17531;20853
Norte de Santander;Junio;2799;;;17516;20315
Norte de Santander;Julio;2551;;;20047;22598
Norte de Santander;Agosto;6664;;;29312;35976
Norte de Santander;Septiembre;5870;;;32225;38095
Valle del Cauca;Enero;26614;;807;;27421
Valle del Cauca;Febrero;24867;;1095;;25962
Valle del Cauca;Marzo;22295;;1264;;23559
Valle del Cauca;Abril;20692;;873;;21565
Valle del Cauca;Mayo;19751;;1053;;20804
Valle del Cauca;Junio;23457;;1190;;24647
Valle del Cauca;Julio;23428;;1089;;24517
Valle del Cauca;Agosto;23515;;1306;;24821
Valle del Cauca;Septiembre;16337;;1183;;17520
